index,time,flow,concentration,segment
0,06/04/19 00:00,364.0,3.4,1
1,06/04/19 00:15,364.0,3.4,1
2,06/04/19 00:30,364.0,4.2,1
3,06/04/19 00:45,364.0,3.5,1
4,06/04/19 01:00,364.0,3.5,1
5,06/04/19 01:15,364.0,3.4,1
6,06/04/19 01:30,364.0,3.5,1
7,06/04/19 01:45,364.0,3.6,1
8,06/04/19 02:00,364.0,3.5,1
9,06/04/19 02:15,364.0,3.5,1
10,06/04/19 02:30,364.0,3.4,1
11,06/04/19 02:45,364.0,3.5,1
12,06/04/19 03:00,364.0,3.4,1
13,06/04/19 03:15,364.0,3.5,1
14,06/04/19 03:30,364.0,3.8,1
15,06/04/19 03:45,364.0,3.5,1
16,06/04/19 04:00,364.0,3.7,1
17,06/04/19 04:15,364.0,3.5,1
18,06/04/19 04:30,364.0,3.7,1
19,06/04/19 04:45,364.0,3.6,1
20,06/04/19 05:00,364.0,3.6,1
21,06/04/19 05:15,364.0,3.7,1
22,06/04/19 05:30,364.0,3.8,1
23,06/04/19 05:45,364.0,3.6,1
24,06/04/19 06:00,364.0,3.7,1
25,06/04/19 06:15,364.0,3.7,1
26,06/04/19 06:30,364.0,3.7,1
27,06/04/19 06:45,364.0,3.8,1
28,06/04/19 07:00,364.0,3.8,1
29,06/04/19 07:15,364.0,4.0,1
30,06/04/19 07:30,364.0,3.9,1
31,06/04/19 07:45,364.0,4.0,1
32,06/04/19 08:00,364.0,3.8,1
33,06/04/19 08:15,364.0,3.9,1
34,06/04/19 08:30,364.0,4.0,1
35,06/04/19 08:45,364.0,4.1,1
36,06/04/19 09:00,364.0,4.1,1
37,06/04/19 09:15,364.0,4.2,1
38,06/04/19 09:30,364.0,4.1,1
39,06/04/19 09:45,364.0,4.1,1
40,06/04/19 10:00,364.0,4.2,1
41,06/04/19 10:15,364.0,4.0,1
42,06/04/19 10:30,364.0,3.9,1
43,06/04/19 10:45,364.0,3.7,1
44,06/04/19 11:00,364.0,3.4,1
45,06/04/19 11:15,364.0,3.3,1
46,06/04/19 11:30,364.0,3.1,1
47,06/04/19 11:45,364.0,3.1,1
48,06/04/19 12:00,364.0,3.0,1
49,06/04/19 12:15,364.0,3.0,1
50,06/04/19 12:30,364.0,3.0,1
51,06/04/19 12:45,364.0,3.0,1
52,06/04/19 13:00,360.0,2.9,1
53,06/04/19 13:15,360.0,3.2,1
54,06/04/19 13:30,360.0,3.0,1
55,06/04/19 13:45,360.0,3.1,1
56,06/04/19 14:00,360.0,3.2,1
57,06/04/19 14:15,360.0,3.1,1
58,06/04/19 14:30,360.0,3.1,1
59,06/04/19 14:45,360.0,3.0,1
60,06/04/19 15:00,360.0,3.0,1
61,06/04/19 15:15,360.0,3.2,1
62,06/04/19 15:30,360.0,3.2,1
63,06/04/19 15:45,360.0,3.1,1
64,06/04/19 16:00,356.0,3.3,1
65,06/04/19 16:15,356.0,3.3,1
66,06/04/19 16:30,356.0,3.2,1
67,06/04/19 16:45,356.0,3.3,1
68,06/04/19 17:00,356.0,3.4,1
69,06/04/19 17:15,356.0,3.5,1
70,06/04/19 17:30,356.0,3.3,1
71,06/04/19 17:45,356.0,3.3,1
