index,time,flow,concentration,segment
0,2019-06-04 00:00:00,364.0,3.4,0
1,2019-06-04 00:15:00,364.0,3.4,0
2,2019-06-04 00:30:00,364.0,4.2,0
3,2019-06-04 00:45:00,364.0,3.5,0
4,2019-06-04 01:00:00,364.0,3.5,0
5,2019-06-04 01:15:00,364.0,3.4,0
6,2019-06-04 01:30:00,364.0,3.5,0
7,2019-06-04 01:45:00,364.0,3.6,0
8,2019-06-04 02:00:00,364.0,3.5,0
9,2019-06-04 02:15:00,364.0,3.5,0
10,2019-06-04 02:30:00,364.0,3.4,0
11,2019-06-04 02:45:00,364.0,3.5,0
12,2019-06-04 03:00:00,364.0,3.4,0
13,2019-06-04 03:15:00,364.0,3.5,0
14,2019-06-04 03:30:00,364.0,3.8,0
15,2019-06-04 03:45:00,364.0,3.5,0
16,2019-06-04 04:00:00,364.0,3.7,0
17,2019-06-04 04:15:00,364.0,3.5,0
18,2019-06-04 04:30:00,364.0,3.7,0
19,2019-06-04 04:45:00,364.0,3.6,0
20,2019-06-04 05:00:00,364.0,3.6,0
21,2019-06-04 05:15:00,364.0,3.7,0
22,2019-06-04 05:30:00,364.0,3.8,0
23,2019-06-04 05:45:00,364.0,3.6,0
24,2019-06-04 06:00:00,364.0,3.7,0
25,2019-06-04 06:15:00,364.0,3.7,0
26,2019-06-04 06:30:00,364.0,3.7,0
27,2019-06-04 06:45:00,364.0,3.8,0
28,2019-06-04 07:00:00,364.0,3.8,0
29,2019-06-04 07:15:00,364.0,4.0,0
30,2019-06-04 07:30:00,364.0,3.9,0
31,2019-06-04 07:45:00,364.0,4.0,0
32,2019-06-04 08:00:00,364.0,3.8,0
33,2019-06-04 08:15:00,364.0,3.9,0
34,2019-06-04 08:30:00,364.0,4.0,0
35,2019-06-04 08:45:00,364.0,4.1,0
36,2019-06-04 09:00:00,364.0,4.1,0
37,2019-06-04 09:15:00,364.0,4.2,0
38,2019-06-04 09:30:00,364.0,4.1,0
39,2019-06-04 09:45:00,364.0,4.1,0
40,2019-06-04 10:00:00,364.0,4.2,0
41,2019-06-04 10:15:00,364.0,4.0,0
42,2019-06-04 10:30:00,364.0,3.9,0
43,2019-06-04 10:45:00,364.0,3.7,0
44,2019-06-04 11:00:00,364.0,3.4,0
45,2019-06-04 11:15:00,364.0,3.3,0
46,2019-06-04 11:30:00,364.0,3.1,0
47,2019-06-04 11:45:00,364.0,3.1,0
48,2019-06-04 12:00:00,364.0,3.0,0
49,2019-06-04 12:15:00,364.0,3.0,0
50,2019-06-04 12:30:00,364.0,3.0,0
51,2019-06-04 12:45:00,364.0,3.0,0
52,2019-06-04 13:00:00,360.0,2.9,0
53,2019-06-04 13:15:00,360.0,3.2,0
54,2019-06-04 13:30:00,360.0,3.0,0
55,2019-06-04 13:45:00,360.0,3.1,0
56,2019-06-04 14:00:00,360.0,3.2,0
57,2019-06-04 14:15:00,360.0,3.1,0
58,2019-06-04 14:30:00,360.0,3.1,0
59,2019-06-04 14:45:00,360.0,3.0,0
60,2019-06-04 15:00:00,360.0,3.0,0
61,2019-06-04 15:15:00,360.0,3.2,0
62,2019-06-04 15:30:00,360.0,3.2,0
63,2019-06-04 15:45:00,360.0,3.1,0
64,2019-06-04 16:00:00,356.0,3.3,0
65,2019-06-04 16:15:00,356.0,3.3,0
66,2019-06-04 16:30:00,356.0,3.2,0
67,2019-06-04 16:45:00,356.0,3.3,0
68,2019-06-04 17:00:00,356.0,3.4,0
69,2019-06-04 17:15:00,356.0,3.5,0
70,2019-06-04 17:30:00,356.0,3.3,0
71,2019-06-04 17:45:00,356.0,3.3,0
